日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA20,MA60,RSI14,DIF,DEA,MACD
2024-02-29,600519,1547.21,1560.66,1562.16,1544.86,24758,4184917973.0,1.12,0.87,13.45,0.2,1560.684,1533.1025000000002,1532.4848333333332,65.81307924219304,13.2553685087355,10.481678119679064,5.547380778112874
2024-03-01,600519,1555.66,1550.72,1560.63,1542.34,26868,4526845398.0,1.17,-0.64,-9.94,0.21,1554.8780000000002,1535.4555,1531.3091666666667,66.83044825761584,12.162797610069447,10.81790201775714,2.689791184624614
2024-03-04,600519,1544.66,1541.96,1546.65,1535.71,26485,4434401015.0,0.71,-0.56,-8.76,0.21,1551.142,1537.4045,1529.7076666666665,59.67074750344712,10.469383970259287,10.748198408257569,-0.5576288759965635
2024-03-05,600519,1536.47,1560.76,1562.66,1532.34,36238,6102136582.0,1.97,1.22,18.8,0.29,1552.262,1539.6595,1528.9398333333334,54.50174413123407,10.523041272741239,10.703166981154304,-0.3602514168261308
2024-03-06,600519,1556.66,1546.21,1560.66,1543.68,22142,3725582802.0,1.09,-0.93,-14.55,0.18,1552.062,1543.0369999999998,1528.089,42.06051121544077,9.284476010893513,10.419428787102145,-2.2699055524172636
2024-03-07,600519,1545.66,1549.29,1555.46,1543.66,21599,3633934774.0,0.76,0.2,3.08,0.17,1549.788,1546.973,1527.9846666666667,44.10664418567887,8.453982133253703,10.026339456332456,-3.1447146461575066
2024-03-08,600519,1546.22,1537.09,1552.34,1535.71,22156,3710678522.0,1.07,-0.79,-12.2,0.18,1547.062,1550.0430000000001,1527.7769999999998,43.731062584891845,6.7337492418464535,9.367821413435255,-5.268144343177603
2024-03-11,600519,1540.66,1560.15,1564.54,1538.84,29895,5048394347.0,1.67,1.5,23.06,0.24,1550.7,1554.9675000000002,1528.0036666666667,56.477122454377145,7.148794705936325,8.924016071935469,-3.550442731998288
2024-03-12,600519,1559.6,1610.66,1614.76,1556.16,54227,9393309052.0,3.76,3.24,50.51,0.43,1560.6799999999998,1560.717,1528.9901666666667,57.12350182386663,11.421792779443422,9.42357141343706,3.9964427320127243
2024-03-13,600519,1605.63,1593.11,1613.66,1585.76,26500,4588879420.0,1.73,-1.09,-17.55,0.21,1570.06,1563.2895,1529.7995,52.17266324917355,13.239420412197433,10.186741213189134,6.105358398016598
2024-03-14,600519,1584.66,1582.29,1600.5,1577.16,19405,3338768308.0,1.47,-0.68,-10.82,0.15,1576.66,1563.5715,1530.2286666666666,50.58998420514725,13.649477156808643,10.879288401913037,5.540377509791213
2024-03-15,600519,1578.16,1583.15,1598.06,1577.66,17834,3066692399.0,1.29,0.05,0.86,0.14,1585.872,1564.1460000000002,1531.5053333333335,55.712907974214495,13.883801077437965,11.480190937018023,4.807220280839886
2024-03-18,600519,1580.66,1573.92,1585.51,1564.66,26055,4446059130.0,1.32,-0.58,-9.23,0.21,1588.626,1564.7875,1533.0298333333333,54.672245467224535,13.17287194314531,11.81872713824348,2.7082896098036606
2024-03-19,600519,1568.66,1573.68,1585.6,1558.77,23948,4093701261.0,1.7,-0.02,-0.24,0.19,1581.23,1566.6885,1534.398666666667,56.85573685573685,12.446612684731917,11.944304247541169,1.0046168743814974
2024-03-20,600519,1569.02,1575.26,1579.34,1565.89,15249,2604543856.0,0.85,0.1,1.58,0.12,1577.66,1566.2855000000002,1535.5105,54.029142289435896,11.8618042892831,11.927804255889555,-0.13199993321291004
2024-03-21,600519,1573.76,1574.66,1584.66,1570.16,16596,2839332631.0,0.92,-0.04,-0.6,0.13,1576.134,1565.8165000000001,1536.3956666666668,56.96578212290503,11.220580568754485,11.786359518462541,-1.1315578994161122
2024-03-22,600519,1570.69,1567.01,1574.65,1553.66,25456,4318592818.0,1.33,-0.49,-7.65,0.2,1572.906,1565.1795,1537.255,57.336144790019304,9.98007103764212,11.425101822298457,-2.8900615693126745
2024-03-25,600519,1564.2,1554.67,1564.43,1546.24,24473,4131446237.0,1.16,-0.79,-12.34,0.19,1569.056,1564.881,1537.5718333333332,48.14634443294578,7.9100413931794264,10.722089736474652,-5.624096686590452
2024-03-26,600519,1553.12,1574.95,1578.46,1553.12,28069,4782899074.0,1.63,1.3,20.28,0.22,1569.3100000000002,1565.8705000000002,1538.2158333333332,58.45294117647058,7.815858151583825,10.140843419496488,-4.649970535825325
2024-03-27,600519,1570.66,1566.66,1577.66,1564.66,18113,3087792980.0,0.83,-0.53,-8.29,0.14,1567.5900000000001,1566.843,1538.6991666666665,54.956908852234484,6.991687712708881,9.511012278138967,-5.038649130860172
2024-03-28,600519,1560.66,1567.3,1583.66,1558.86,24642,4201857059.0,1.58,0.04,0.64,0.2,1566.118,1567.175,1539.2265,59.230064161319895,6.317346910596598,8.872279204630493,-5.10986458806779
